MID,AID
473,899
473,562
473,2311
474,92
474,631
474,1269
474,2109
475,55
475,900
475,864
475,2312
476,292
476,587
476,1465
476,2313
477,293
477,901
477,1466
477,2314
478,294
478,902
478,1467
478,2315
479,295
479,903
479,1468
479,1908
480,28
480,554
480,1469
480,2316
481,134
481,858
481,1470
481,751
482,163
482,904
482,645
482,2317
483,20
483,562
483,1019
483,320
484,296
484,905
484,1471
484,2318
485,169
485,906
485,1472
485,707
486,297
486,907
486,812
486,641
487,298
487,908
487,1473
487,2319
488,299
488,909
488,671
488,2320
489,5
489,910
489,1408
489,2128
490,300
490,911
490,1474
490,2321
491,217
491,793
491,1475
491,2322
492,34
492,751
492,1395
492,1018
493,301
493,912
493,1476
493,1216
494,302
494,913
494,1477
494,774
495,303
495,914
495,1478
495,2323
496,5
496,915
496,1479
496,2324
497,5
497,542
497,663
497,248
498,94
498,916
498,1225
498,2325
499,91
499,813
499,1480
499,2326
500,304
500,917
500,1481
500,1331
501,242
501,832
501,1482
501,2327
502,305
502,721
502,1483
502,1225
503,92
503,918
503,1484
503,2328
504,306
504,919
504,724
504,2005
505,307
505,920
505,599
505,2329
506,308
506,921
506,1485
506,2330
507,166
507,779
507,1020
507,2331
508,309
508,600
508,1486
508,878
509,76
509,922
509,1487
509,758
510,256
510,827
510,1013
510,2332
511,310
511,923
511,1488
511,2333
512,60
512,924
512,1489
512,2334
513,60
513,925
513,776
513,2335
514,202
514,658
514,1490
514,1504
515,200
515,926
515,1491
515,2336
516,76
516,927
516,1492
516,1676
517,50
517,860
517,1190
517,594
518,124
518,928
518,587
518,422
519,215
519,790
519,1362
519,2337
520,90
520,899
520,1493
520,2338
521,311
521,929
521,1494
521,2339
522,28
522,569
522,960
522,2340
523,312
523,930
523,1495
523,2341
524,313
524,910
524,790
524,2342
525,314
525,931
525,1496
525,249
526,315
526,932
526,1497
526,2343
527,6
527,933
527,1336
527,915
528,316
528,934
528,1498
528,2344
529,166
529,712
529,900
529,1721
530,317
530,724
530,595
530,1944
531,78
531,935
531,1499
531,554
532,318
532,936
532,1500
532,2345
533,34
533,609
533,1501
533,2346
534,303
534,763
534,1502
534,2347
535,319
535,937
535,1503
535,2348
536,320
536,938
536,803
536,2349
537,126
537,603
537,1504
537,2350
538,228
538,939
538,609
538,553
539,321
539,940
539,778
539,2351
540,322
540,941
540,1505
540,2352
541,322
541,644
541,1506
541,2353
542,224
542,942
542,935
542,820
543,323
543,650
543,1507
543,2354
544,324
544,868
544,1508
544,1838
545,175
545,630
545,1477
545,2355
546,325
546,860
546,815
546,579
547,251
547,943
547,1509
547,2356
548,147
548,783
548,1006
548,15
549,326
549,888
549,1070
549,758
550,327
550,944
550,1510
550,2357
551,48
551,698
551,1424
551,2358
552,328
552,860
552,1511
552,2359
553,106
553,945
553,1187
553,791
554,329
554,946
554,1512
554,2360
555,330
555,947
555,577
555,2361
556,331
556,948
556,1513
556,1201
557,93
557,891
557,860
557,2362
558,332
558,938
558,1137
558,677
559,82
559,929
559,1065
559,478
560,182
560,707
560,1514
560,999
561,247
561,837
561,1056
561,2363
562,333
562,949
562,912
562,2364
563,288
563,950
563,1515
563,2365
564,334
564,951
564,1516
564,1789
565,81
565,780
565,590
565,581
566,335
566,587
566,690
566,721
567,161
567,952
567,1517
567,909
568,336
568,953
568,591
568,596
569,54
569,954
569,1518
569,2366
570,135
570,955
570,1519
570,2367
571,337
571,623
571,1520
571,714
572,19
572,956
572,1114
572,1675
573,85
573,561
573,676
573,2368
574,121
574,918
574,1521
574,1874
575,106
575,582
575,1522
575,1621
576,72
576,957
576,1523
576,2369
577,44
577,958
577,622
577,1085
578,338
578,690
578,1389
578,2370
579,10
579,661
579,1164
579,1950
580,7
580,815
580,1524
580,2371
581,339
581,959
581,1525
581,2372
582,340
582,642
582,1526
582,18
583,341
583,960
583,1527
583,2373
584,337
584,961
584,1528
584,1188
585,64
585,962
585,602
585,1950
586,342
586,963
586,1529
586,2374
587,343
587,964
587,626
587,690
588,84
588,887
588,768
588,2375
589,344
589,740
589,598
589,1851
590,345
590,965
590,1530
590,2376
591,346
591,966
591,1531
591,2377
592,276
592,962
592,1532
592,1794
593,61
593,966
593,1533
593,2378
594,347
594,967
594,760
594,488
595,237
595,897
595,1534
595,2235
596,348
596,878
596,1504
596,2379
597,349
597,968
597,1366
597,1454
598,350
598,570
598,786
598,2380
599,351
599,969
599,1535
599,2381
600,237
600,602
600,1158
600,1088
601,252
601,612
601,531
601,2382
602,352
602,970
602,537
602,867
603,48
603,941
603,1536
603,2383
604,289
604,900
604,1166
604,1647
605,353
605,971
605,1537
605,2384
606,354
606,972
606,1053
606,2385
607,10
607,973
607,1538
607,2386
608,93
608,974
608,539
608,2387
609,355
609,975
609,1539
609,2388
610,356
610,976
610,1540
610,2389
611,357
611,610
611,1530
611,2390
612,358
612,977
612,1541
612,2391
613,287
613,897
613,1542
613,956
614,64
614,958
614,1543
614,2392
615,156
615,978
615,184
615,2393
616,120
616,979
616,593
616,2394
617,359
617,980
617,1544
617,2395
618,4
618,981
618,1545
618,682
619,22
619,982
619,718
619,1515
620,137
620,564
620,1546
620,553
621,360
621,983
621,1547
621,2396
622,47
622,984
622,1548
622,2397
623,361
623,940
623,1549
624,362
624,985
624,1550
624,1768
625,262
625,986
625,863
625,1769
626,171
626,987
626,900
626,47
627,125
627,587
627,757
627,1431
628,363
628,988
628,1551
628,1770
629,49
629,989
629,981
629,1186
630,137
630,990
630,874
630,1771
631,131
631,561
631,1552
631,1724
632,191
632,991
632,1553
632,1476
633,364
633,992
633,1554
633,1772
634,365
634,993
634,1555
634,1773
635,366
635,994
635,1556
635,1774
636,36
636,995
636,1470
636,623
637,131
637,589
637,745
637,1775
638,61
638,723
638,651
638,736
639,367
639,996
639,1557
639,1776
640,368
640,997
640,1558
640,1777
641,5
641,899
641,1050
641,1778
642,369
642,998
642,1559
642,1779
643,228
643,999
643,1560
643,1405
644,370
644,1000
644,1561
644,1780
645,371
645,1001
645,1562
645,1781
646,372
646,1002
646,1563
646,1782
647,224
647,805
647,947
647,1783
648,373
648,1003
648,1564
648,1784
649,203
649,1004
649,1565
649,1785
650,29
650,1005
650,1566
650,1786
651,41
651,1006
651,1567
651,1787
652,374
652,1007
652,935
652,1788
653,175
653,740
653,1254
653,1426
654,223
654,1008
654,1568
654,1789
655,375
655,1009
655,1569
655,1790
656,50
656,783
656,1570
656,736
657,376
657,1010
657,1233
657,1791
658,196
658,754
658,1571
658,1792
659,276
659,1011
659,1572
659,1793
660,377
660,1012
660,1573
660,1565
661,36
661,555
661,1574
661,1472
662,242
662,681
662,1575
662,1794
663,378
663,1013
663,958
663,589
664,256
664,1014
664,1576
664,1795
665,264
665,1015
665,1577
665,1796
666,268
666,766
666,1578
666,1797
667,288
667,923
667,631
667,1798
668,60
668,1016
668,798
668,1799
669,60
669,538
669,1019
669,1800
670,69
670,968
670,941
670,1801
671,59
671,1017
671,1579
671,1802
672,61
672,1018
672,966
672,1803
673,317
673,1019
673,1580
673,1804
674,30
674,1020
674,731
674,1805
675,86
675,924
675,575
675,752
676,379
676,1021
676,883
676,1806
677,247
677,1022
677,1581
677,1709
678,380
678,581
678,1582
678,1807
679,381
679,1023
679,1583
679,1808
680,382
680,1024
680,1584
680,1809
681,10
681,661
681,1164
681,1095
682,383
682,825
682,1340
682,1810
683,47
683,1025
683,1532
683,1811
684,380
684,1026
684,1585
684,1812
685,5
685,1027
685,1095
685,1813
686,59
686,1028
686,1006
686,1814
687,384
687,1029
687,1586
687,1815
688,385
688,715
688,791
688,1816
689,54
689,1030
689,1587
689,1817
690,136
690,1031
690,640
690,570
691,31
691,1032
691,1077
691,1818
692,386
692,1033
692,1588
692,1819
693,59
693,766
693,543
693,1245
694,387
694,617
694,664
694,1820
695,388
695,1034
695,1589
695,1821
696,193
696,1035
696,1590
696,1822
697,200
697,1027
697,534
697,795
698,389
698,1036
698,1591
698,1823
699,390
699,1037
699,889
699,1824
700,391
700,1038
700,1592
700,1825
701,276
701,718
701,1593
701,1826
702,60
702,751
702,1016
702,1827
703,390
703,1039
703,763
703,1828
704,392
704,587
704,1594
704,1829
705,154
705,1040
705,863
705,1830
706,393
706,1041
706,1595
706,1831
707,6
707,701
707,1596
707,1832
708,124
708,974
708,1504
708,608
709,67
709,1042
709,745
709,1040
710,394
710,891
710,1308
710,1621
711,161
711,711
711,909
711,1517
712,395
712,1043
712,1597
712,1833
713,396
713,607
713,760
713,1070
714,397
714,1044
714,1598
714,1834
715,137
715,589
715,1599
715,1835
716,398
716,1045
716,587
716,990
717,399
717,1046
717,1600
717,1836
718,400
718,851
718,1601
718,1837
719,78
719,941
719,618
719,631
720,36
720,740
720,756
720,1838
721,195
721,753
721,1217
721,791
722,401
722,1047
722,1602
722,1839
723,228
723,1048
723,843
723,1422
724,402
724,1049
724,1603
724,1840
725,403
725,1050
725,1604
725,1841
726,41
726,1051
726,672
726,1006
727,27
727,548
727,1605
727,1842
728,254
728,728
728,1606
728,1843
729,262
729,648
729,1336
729,1844
730,404
730,1052
730,1607
730,1845
731,255
731,874
731,740
731,1846
732,122
732,667
732,991
732,1847
733,405
733,1053
733,1608
733,1848
734,54
734,1054
734,1609
734,670
735,406
735,681
735,1610
735,1532
736,310
736,878
736,1611
736,1190
737,103
737,1055
737,1612
737,1713
738,69
738,738
738,570
738,1849
739,50
739,687
739,713
739,1850
740,407
740,1056
740,1354
740,1851
741,68
741,1057
741,1613
741,1852
742,302
742,1058
742,820
742,1853
743,408
743,1059
743,1614
743,1854
744,338
744,616
744,1189
744,162
745,100
745,1060
745,1615
745,1855
746,409
746,590
746,957
746,1856
747,410
747,1061
747,1616
747,1857
748,380
748,585
748,1617
748,1858
749,411
749,1062
749,1618
749,1859
750,177
750,1063
750,1619
750,1860
751,374
751,612
751,1388
751,1861
752,412
752,1064
752,1620
752,1862
753,171
753,1065
753,1621
753,1863
754,401
754,1066
754,640
754,1864
755,413
755,1067
755,1622
755,1865
756,70
756,590
756,1623
756,1866
757,414
757,1068
757,1037
757,1867
758,415
758,1069
758,1624
758,1868
759,416
759,1070
759,1110
759,51
760,60
760,1071
760,679
760,1869
761,417
761,682
761,1625
761,1321
762,418
762,560
762,978
762,1870
763,129
763,1072
763,1567
763,1084
764,161
764,589
764,1027
764,1871
765,288
765,630
765,1626
765,1872
766,95
766,1073
766,1627
766,1873
767,419
767,637
767,1189
767,1874
768,419
768,687
768,723
768,1875
769,420
769,1074
769,1628
769,1876
770,421
770,1075
770,805
770,1877
771,127
771,1076
771,1343
771,1297
772,422
772,1077
772,1629
772,1878
773,211
773,868
773,1445
773,1879
774,423
774,605
774,1630
774,1880
775,74
775,724
775,1631
775,1881
776,167
776,1078
776,306
776,650
777,424
777,1079
777,1632
777,1882
778,425
778,1060
778,1633
778,1883
779,426
779,1080
779,1634
779,1884
780,18
780,1075
780,1635
780,1885
781,262
781,599
781,1636
781,1886
782,30
782,1081
782,1317
782,1887
783,243
783,1082
783,1637
783,1888
784,427
784,1083
784,1638
784,1509
785,32
785,782
785,1639
785,1889
786,54
786,1084
786,1640
786,1890
787,428
787,1085
787,575
787,1891
788,429
788,1086
788,1354
788,1892
789,228
789,1087
789,710
789,843
790,5
790,590
790,596
790,1893
791,181
791,1088
791,707
791,1894
792,85
792,1051
792,1455
792,1895
793,36
793,1089
793,1641
793,1896
794,430
794,1090
